vendor,service_name,UPPER(sku),os_type,currency,billing_type,unit_price,reservation_term,azure_region
Azure,Storage,E1,,CNY,ANNUAL,34.548,,CN EAST 2
Azure,Storage,E1,,CNY,ANNUAL,34.548,,CN NORTH 2
Azure,Storage,E10,,CNY,ANNUAL,869.4,,CN EAST 2
Azure,Storage,E10,,CNY,ANNUAL,869.4,,CN NORTH 2
Azure,Storage,E15,,CNY,ANNUAL,1738.8,,CN EAST 2
Azure,Storage,E15,,CNY,ANNUAL,1738.8,,CN NORTH 2
Azure,Storage,E2,,CNY,ANNUAL,69.108,,CN EAST 2
Azure,Storage,E2,,CNY,ANNUAL,69.108,,CN NORTH 2
Azure,Storage,E20,,CNY,ANNUAL,3477.72,,CN EAST 2
Azure,Storage,E20,,CNY,ANNUAL,3477.72,,CN NORTH 2
Azure,Storage,E3,,CNY,ANNUAL,138.24,,CN EAST 2
Azure,Storage,E3,,CNY,ANNUAL,138.24,,CN NORTH 2
Azure,Storage,E30,,CNY,ANNUAL,6955.44,,CN EAST 2
Azure,Storage,E30,,CNY,ANNUAL,6955.44,,CN NORTH 2
Azure,Storage,E4,,CNY,ANNUAL,217.32,,CN EAST 2
Azure,Storage,E4,,CNY,ANNUAL,217.32,,CN NORTH 2
Azure,Storage,E40,,CNY,ANNUAL,13910.88,,CN EAST 2
Azure,Storage,E40,,CNY,ANNUAL,13910.88,,CN NORTH 2
Azure,Storage,E50,,CNY,ANNUAL,27821.88,,CN EAST 2
Azure,Storage,E50,,CNY,ANNUAL,27821.88,,CN NORTH 2
Azure,Storage,E6,,CNY,ANNUAL,434.64,,CN EAST 2
Azure,Storage,E6,,CNY,ANNUAL,434.64,,CN NORTH 2
Azure,Storage,E60,,CNY,ANNUAL,55643.76,,CN EAST 2
Azure,Storage,E60,,CNY,ANNUAL,55643.76,,CN NORTH 2
Azure,Storage,E70,,CNY,ANNUAL,111287.52,,CN EAST 2
Azure,Storage,E70,,CNY,ANNUAL,111287.52,,CN NORTH 2
Azure,Storage,E80,,CNY,ANNUAL,222575.04,,CN EAST 2
Azure,Storage,E80,,CNY,ANNUAL,222575.04,,CN NORTH 2
Azure,Storage,P1,,CNY,ANNUAL,69.108,,CN EAST 2
Azure,Storage,P1,,CNY,ANNUAL,69.108,,CN NORTH 2
Azure,Storage,P10,,CNY,ANNUAL,1331.4,,CN EAST 2
Azure,Storage,P10,,CNY,ANNUAL,1331.4,,CN NORTH 2
Azure,Storage,P15,,CNY,ANNUAL,2567.88,,CN EAST 2
Azure,Storage,P15,,CNY,ANNUAL,2567.88,,CN NORTH 2
Azure,Storage,P2,,CNY,ANNUAL,138.24,,CN EAST 2
Azure,Storage,P2,,CNY,ANNUAL,138.24,,CN NORTH 2
Azure,Storage,P20,,CNY,ANNUAL,4946.28,,CN EAST 2
Azure,Storage,P20,,CNY,ANNUAL,4946.28,,CN NORTH 2
Azure,Storage,P3,,CNY,ANNUAL,276.36,,CN EAST 2
Azure,Storage,P3,,CNY,ANNUAL,276.36,,CN NORTH 2
Azure,Storage,P30,,CNY,ANNUAL,9131.28,,CN EAST 2
Azure,Storage,P30,,CNY,ANNUAL,9131.28,,CN NORTH 2
Azure,Storage,P4,,CNY,ANNUAL,478.8,,CN EAST 2
Azure,Storage,P4,,CNY,ANNUAL,478.8,,CN NORTH 2
Azure,Storage,P40,,CNY,ANNUAL,17499.36,,CN EAST 2
Azure,Storage,P40,,CNY,ANNUAL,17499.36,,CN NORTH 2
Azure,Storage,P50,,CNY,ANNUAL,33477,,CN EAST 2
Azure,Storage,P50,,CNY,ANNUAL,33477,,CN NORTH 2
Azure,Storage,P6,,CNY,ANNUAL,925.92,,CN EAST 2
Azure,Storage,P6,,CNY,ANNUAL,925.92,,CN NORTH 2
Azure,Storage,P60,,CNY,ANNUAL,66954,,CN EAST 2
Azure,Storage,P60,,CNY,ANNUAL,66954,,CN NORTH 2
Azure,Storage,P70,,CNY,ANNUAL,133908.12,,CN EAST 2
Azure,Storage,P70,,CNY,ANNUAL,133908.12,,CN NORTH 2
Azure,Storage,P80,,CNY,ANNUAL,267816.48,,CN EAST 2
Azure,Storage,P80,,CNY,ANNUAL,267816.48,,CN NORTH 2
Azure,Virtual Machines,A0,Linux,CNY,ANNUAL,1069.43004,,CN EAST 2
Azure,Virtual Machines,A0,Linux,CNY,ANNUAL,1069.43004,,CN NORTH 2
Azure,Virtual Machines,A0,Windows,CNY,ANNUAL,1069.43004,,CN EAST 2
Azure,Virtual Machines,A0,Windows,CNY,ANNUAL,1069.43004,,CN NORTH 2
Azure,Virtual Machines,A1,Linux,CNY,ANNUAL,2397.45177,,CN EAST 2
Azure,Virtual Machines,A1,Linux,CNY,ANNUAL,2397.45177,,CN NORTH 2
Azure,Virtual Machines,A1,Windows,CNY,ANNUAL,2976.872472,,CN EAST 2
Azure,Virtual Machines,A1,Windows,CNY,ANNUAL,2976.872472,,CN NORTH 2
Azure,Virtual Machines,A1_V2,Linux,CNY,ANNUAL,3611.51784,,CN EAST 2
