vendor,service_name,description,sku,os_type,currency,billing_type,unit_price,reservation_term,azure_region
Azure,Virtual Machines,Virtual Machines A Series - A0 - EU North,A0,LINUX,USD,ANNUAL,166.44,0,EU North
Azure,Virtual Machines,Virtual Machines A Series - A0 - EU West,A0,LINUX,USD,ANNUAL,166.44,0,EU West
Azure,Virtual Machines,Virtual Machines A Series - A0 - US Central,A0,LINUX,USD,ANNUAL,166.44,0,US Central
Azure,Virtual Machines,Virtual Machines A Series - A0 - US East 2,A0,LINUX,USD,ANNUAL,166.44,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series - A1 - EU North,A1,LINUX,USD,ANNUAL,499.32,0,EU North
Azure,Virtual Machines,Virtual Machines A Series - A1 - EU West,A1,LINUX,USD,ANNUAL,499.32,0,EU West
Azure,Virtual Machines,Virtual Machines A Series - A1 - US Central,A1,LINUX,USD,ANNUAL,499.32,0,US Central
Azure,Virtual Machines,Virtual Machines A Series - A1 - US East 2,A1,LINUX,USD,ANNUAL,499.32,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series - A10 - EU North,A10,LINUX,USD,ANNUAL,6491.16,0,EU North
Azure,Virtual Machines,Virtual Machines A Series - A10 - EU West,A10,LINUX,USD,ANNUAL,7463.52,0,EU West
Azure,Virtual Machines,Virtual Machines A Series - A11 - EU North,A11,LINUX,USD,ANNUAL,12982.32,0,EU North
Azure,Virtual Machines,Virtual Machines A Series - A11 - EU West,A11,LINUX,USD,ANNUAL,14927.04,0,EU West
Azure,Virtual Machines,Virtual Machines A Series - A2 - EU North,A2,LINUX,USD,ANNUAL,998.64,0,EU North
Azure,Virtual Machines,Virtual Machines A Series - A2 - EU West,A2,LINUX,USD,ANNUAL,998.64,0,EU West
Azure,Virtual Machines,Virtual Machines A Series - A2 - US Central,A2,LINUX,USD,ANNUAL,998.64,0,US Central
Azure,Virtual Machines,Virtual Machines A Series - A2 - US East 2,A2,LINUX,USD,ANNUAL,998.64,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series - A3 - EU North,A3,LINUX,USD,ANNUAL,1997.28,0,EU North
Azure,Virtual Machines,Virtual Machines A Series - A3 - EU West,A3,LINUX,USD,ANNUAL,1997.28,0,EU West
Azure,Virtual Machines,Virtual Machines A Series - A3 - US Central,A3,LINUX,USD,ANNUAL,1997.28,0,US Central
Azure,Virtual Machines,Virtual Machines A Series - A3 - US East 2,A3,LINUX,USD,ANNUAL,1997.28,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series - A4 - EU North,A4,LINUX,USD,ANNUAL,3994.56,0,EU North
Azure,Virtual Machines,Virtual Machines A Series - A4 - EU West,A4,LINUX,USD,ANNUAL,3994.56,0,EU West
Azure,Virtual Machines,Virtual Machines A Series - A4 - US Central,A4,LINUX,USD,ANNUAL,3994.56,0,US Central
Azure,Virtual Machines,Virtual Machines A Series - A4 - US East 2,A4,LINUX,USD,ANNUAL,3994.56,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series - A5 - EU North,A5,LINUX,USD,ANNUAL,2063.86,0,EU North
Azure,Virtual Machines,Virtual Machines A Series - A5 - EU West,A5,LINUX,USD,ANNUAL,2246.94,0,EU West
Azure,Virtual Machines,Virtual Machines A Series - A5 - US Central,A5,LINUX,USD,ANNUAL,2080.50,0,US Central
Azure,Virtual Machines,Virtual Machines A Series - A5 - US East 2,A5,LINUX,USD,ANNUAL,1830.84,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series - A6 - EU North,A6,LINUX,USD,ANNUAL,4127.71,0,EU North
Azure,Virtual Machines,Virtual Machines A Series - A6 - EU West,A6,LINUX,USD,ANNUAL,4493.88,0,EU West
Azure,Virtual Machines,Virtual Machines A Series - A6 - US Central,A6,LINUX,USD,ANNUAL,4161.00,0,US Central
Azure,Virtual Machines,Virtual Machines A Series - A6 - US East 2,A6,LINUX,USD,ANNUAL,3661.68,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series - A7 - EU North,A7,LINUX,USD,ANNUAL,8255.42,0,EU North
Azure,Virtual Machines,Virtual Machines A Series - A7 - EU West,A7,LINUX,USD,ANNUAL,8987.76,0,EU West
