sku,cpu,ram,storage
A1_V2,1,2,10
A2_V2,2,4,20
A2M_V2,2,16,20
A4_V2,4,8,40
A4M_V2,4,32,40
A8_V2,8,16,80
A8M_V2,8,64,80
B1S,1,1,2
B1LS,1,0.5,4
B1MS,1,2,4
B2S,2,4,8
B2MS,2,8,16
B4MS,4,16,32
B8MS,8,32,64
B12MS,12,48,96
B16MS,16,64,128
B20MS,20,80,160
D1_V2,1,3.5,50
D2_V2,2,7,100
D2_V3,2,8,50
D2_V4,2,8,0
D2D_V4,2,8,16
D2S_V3,2,8,16
D2S_V4,2,8,0
D2DS_V4,2,8,16
D3_V2,4,14,200
D4_V2,8,28,400
D4_V3,4,16,100
D4_V4,4,16,0
D4D_V4,4,16,32
D4S_V3,4,16,32
D4S_V4,4,16,0
D4DS_V4,4,16,32
D5_V2,16,56,800
D8_V3,8,32,200
D8_V4,8,32,0
D8D_V4,8,32,64
D8S_V3,8,32,64
D8S_V4,8,32,0
D8DS_V4,8,32,64
D11_V2,2,14,100
D12_V2,4,28,200
D13_V2,8,56,400
D14_V2,16,112,800
D15_V2,20,140,1000
D16_V3,16,64,400
D16_V4,16,64,0
D16D_V4,16,64,128
D16S_V3,16,64,128
D16S_V4,16,64,0
D16DS_V4,16,64,128
D32_V3,32,128,800
D32_V4,32,128,0
D32D_V4,32,128,256
D32S_V3,32,128,256
D32S_V4,32,128,0
D32DS_V4,32,128,256
D48_V3,48,192,1200
D48_V4,48,192,0
D48D_V4,48,192,384
D48S_V3,48,192,384
D48S_V4,48,192,0
D48DS_V4,48,192,384
D64_V3,64,256,1600
D64_V4,64,256,0
D64D_V4,64,256,512
D64S_V3,64,256,512
D64S_V4,64,256,0
D64DS_V4,64,256,512
DS1_V2,1,3.5,7
DS2_V2,2,7,14
DS3_V2,4,14,28
DS4_V2,8,28,56
DS5_V2,16,56,112
DS11_V2,2,14,28
DS12_V2,4,28,56
DS13_V2,8,56,112
DS14_V2,16,112,224
DS15_V2,20,140,280
E2_V4,2,16,0
E2D_V4,2,16,32
E2S_V3,2,16,32
E2S_V4,2,16,0
E2DS_V4,2,16,32
E4_V4,4,32,0
E4D_V4,4,32,64
E4S_V3,4,32,64
E4S_V4,4,32,0
E4DS_V4,4,32,64
E4-2S_V4,2,32,0
E8_V4,8,64,0
E8D_V4,8,64,128
E8S_V3,8,64,128
E8S_V4,8,64,0
E8DS_V4,8,64,128
E8-2S_V4,2,64,0
E8-4S_V3,4,64,0
E8-4S_V4,4,64,0
E16_V4,16,128,0
E16D_V4,16,128,256
E16S_V3,16,128,256
E16S_V4,16,128,0
E16DS_V4,16,128,256
E16-4S_V4,4,128,0
E16-8S_V3,8,128,0
E16-8S_V4,8,128,0
E20_V4,20,160,0
E20D_V4,20,160,320
E20S_V3,20,160,320
E20S_V4,20,160,0
E20DS_V4,20,160,320
E32_V4,32,256,0
E32D_V4,32,256,512
E32S_V3,32,256,512
E32S_V4,32,256,0
E32DS_V4,32,256,512
E32-8S_V4,8,256,0
E32-16S_V3,16,256,0
E32-16S_V4,16,256,0
E48_V4,48,384,0
E48D_V4,48,384,768
E48S_V3,48,384,768
E48S_V4,48,384,0
E48DS_V4,48,384,768
E64_V4,64,432,0
E64D_V4,64,432,864
E64S_V3,64,432,864
E64S_V4,64,432,0
E64DS_V4,64,504,864
E64IS_V3,64,432,864
E64-16S_V4,16,504,0
E64-32S_V4,32,504,0
F1,1,2,16
F1S,1,2,4
F2,2,4,32
F2S,2,4,8
F4,4,8,64
F4S,4,8,16
F8,8,16,128
F8S,8,16,32
F16,16,32,256
F16S,16,32,64
M8MS,8,219,256
M16MS,16,438,512
M32LS,32,256,1024
M32MS,32,875,1024
M32TS,32,192,1024
M64S,64,1024,2048
M64LS,64,512,2048
M64MS,64,1792,2048
M128S,128,2048,4096
M128MS,128,3892,4096
M8MS,8,219,250
M16MS,16,438,500
M32LS,32,256,1000
M32MS,32,875,1000
M32TS,32,192,1000
M64S,64,1024,2000
M64LS,64,512,2000
M64MS,64,1792,2000
M128S,128,2048,4000
M128MS,128,3892,4000
