env,server_type,action,ratio
PROD,APP,FIRST_DEDUPE,0.74
PROD,APP,FIRST_COMPRESS,0.48
PROD,APP,ONGOING_DEDUPE,0.99
PROD,APP,ONGOING_COMPRESS,0.45
PROD,DB,FIRST_DEDUPE,0.75
PROD,DB,FIRST_COMPRESS,0.75
PROD,DB,ONGOING_DEDUPE,0.85
PROD,DB,ONGOING_COMPRESS,0.78
PROD,FILE,FIRST_DEDUPE,0.58
PROD,FILE,FIRST_COMPRESS,0.50
PROD,FILE,ONGOING_DEDUPE,0.99
PROD,FILE,ONGOING_COMPRESS,0.56
NONPROD,APP,FIRST_DEDUPE,0.74
NONPROD,APP,FIRST_COMPRESS,0.48
NONPROD,APP,ONGOING_DEDUPE,0.99
NONPROD,APP,ONGOING_COMPRESS,0.45
NONPROD,DB,FIRST_DEDUPE,0.75
NONPROD,DB,FIRST_COMPRESS,0.75
NONPROD,DB,ONGOING_DEDUPE,0.85
NONPROD,DB,ONGOING_COMPRESS,0.78
NONPROD,FILE,FIRST_DEDUPE,0.58
NONPROD,FILE,FIRST_COMPRESS,0.50
NONPROD,FILE,ONGOING_DEDUPE,0.99
NONPROD,FILE,ONGOING_COMPRESS,0.56
