app,env,tshirt_size,app_role,sku,os_type,qty,is_asr_required,backup_type,weekly_data_chg_rate,disk1,disk2,linux_dist
CTMS,PROD,SHARED,IMPACT,D4s_v3,LINUX,2,1,APP,10.00%,P10,P6,CENTOS
CTMS,PROD,SMALL,IMPACT,D4s_v3,LINUX,2,1,APP,10.00%,P10,P6,CENTOS
CTMS,PROD,MEDIUM,IMPACT,D4s_v3,LINUX,5,1,APP,10.00%,P10,P6,CENTOS
CTMS,PROD,LARGE,IMPACT,D4s_v3,LINUX,10,1,APP,10.00%,P10,P6,CENTOS
CTMS,PROD,SHARED,Style Report,D4s_v3,LINUX,2,1,APP,0.10%,P10,P6,CENTOS
CTMS,PROD,SMALL,Style Report,D4s_v3,LINUX,2,1,APP,0.10%,P10,P6,CENTOS
CTMS,PROD,MEDIUM,Style Report,D4s_v3,LINUX,2,1,APP,0.10%,P10,P6,CENTOS
CTMS,PROD,LARGE,Style Report,D4s_v3,LINUX,2,1,APP,0.10%,P10,P6,CENTOS
CTMS,PROD,SHARED,Database,E32-8s_v3,LINUX,2,1,DB,10.00%,P10,P30,RHEL
CTMS,PROD,SMALL,Database,E16-4s_v3,LINUX,2,1,DB,10.00%,P10,P30,RHEL
CTMS,PROD,MEDIUM,Database,E32-8s_v3,LINUX,2,1,DB,10.00%,P10,P30,RHEL
CTMS,PROD,LARGE,Database,E32-16s_v3,LINUX,2,1,DB,10.00%,P10,P30,RHEL
CTMS,PROD,SHARED,Standby Database,E32-8s_v3,LINUX,1,1,DB,10.00%,P10,P20,RHEL
CTMS,PROD,SMALL,Standby Database,E16-4s_v3,LINUX,1,1,DB,10.00%,P10,P20,RHEL
CTMS,PROD,MEDIUM,Standby Database,E32-8s_v3,LINUX,1,1,DB,10.00%,P10,P20,RHEL
CTMS,PROD,LARGE,Standby Database,E32-16s_v3,LINUX,1,1,DB,10.00%,P10,P20,RHEL
CTMS,NONPROD,SHARED,IMPACT,B2s,LINUX,1,0,APP,5.00%,P10,P6,CENTOS
CTMS,NONPROD,SMALL,IMPACT,B2s,LINUX,1,0,APP,5.00%,P10,P6,CENTOS
CTMS,NONPROD,MEDIUM,IMPACT,B2s,LINUX,1,0,APP,5.00%,P10,P6,CENTOS
CTMS,NONPROD,LARGE,IMPACT,B2s,LINUX,1,0,APP,5.00%,P10,P6,CENTOS
CTMS,NONPROD,SHARED,Style Report,B2s,LINUX,1,0,APP,0.10%,P10,P6,CENTOS
CTMS,NONPROD,SMALL,Style Report,B2s,LINUX,1,0,APP,0.10%,P10,P6,CENTOS
CTMS,NONPROD,MEDIUM,Style Report,B2s,LINUX,1,0,APP,0.10%,P10,P6,CENTOS
CTMS,NONPROD,LARGE,Style Report,B2s,LINUX,1,0,APP,0.10%,P10,P6,CENTOS
CTMS,NONPROD,SHARED,Database,E32-8s_v3,LINUX,1,0,DB,5.00%,P10,P30,RHEL
CTMS,NONPROD,SMALL,Database,E16-4s_v3,LINUX,1,0,DB,5.00%,P10,P30,RHEL
CTMS,NONPROD,MEDIUM,Database,E32-8s_v3,LINUX,1,0,DB,5.00%,P10,P30,RHEL
CTMS,NONPROD,LARGE,Database,E32-16s_v3,LINUX,1,0,DB,5.00%,P10,P30,RHEL
CTMS,NONPROD,SHARED,Standby Database,E32-8s_v3,LINUX,1,0,DB,5.00%,P10,P20,RHEL
CTMS,NONPROD,SMALL,Standby Database,E16-4s_v3,LINUX,1,0,DB,5.00%,P10,P20,RHEL
CTMS,NONPROD,MEDIUM,Standby Database,E32-8s_v3,LINUX,1,0,DB,5.00%,P10,P20,RHEL
CTMS,NONPROD,LARGE,Standby Database,E32-16s_v3,LINUX,1,0,DB,5.00%,P10,P20,RHEL
