app,env,tshirt_size,app_role,sku,os_type,qty,is_asr_required,backup_type,weekly_data_chg_rate,disk1,disk2,linux_dist
RIM,SHARED,XSMALL,Citrix,E8s_v3,WINDOWS,2,1,FILE,10.00%,P10,,
RIM,SHARED,SMALL,Citrix,E8s_v3,WINDOWS,2,1,FILE,10.00%,P10,,
RIM,SHARED,MEDIUM,Citrix,E8s_v3,WINDOWS,3,1,FILE,10.00%,P10,,
RIM,SHARED,LARGE,Citrix,E8s_v3,WINDOWS,4,1,FILE,10.00%,P10,,
RIM,SHARED,XLARGE,Citrix,E8s_v3,WINDOWS,5,1,FILE,10.00%,P10,,
RIM,SHARED,XSMALL,File Server,DS1_v2,WINDOWS,1,1,FILE,10.00%,P10,P20,
RIM,SHARED,SMALL,File Server,DS1_v2,WINDOWS,1,1,FILE,10.00%,P10,P20,
RIM,SHARED,MEDIUM,File Server,DS1_v2,WINDOWS,1,1,FILE,10.00%,P10,P20,
RIM,SHARED,LARGE,File Server,DS1_v2,WINDOWS,1,1,FILE,10.00%,P10,P20,
RIM,SHARED,XLARGE,File Server,E4s_v3,WINDOWS,1,1,FILE,10.00%,P10,P20,
RIM,PROD,XSMALL,InSight Manager,DS3_v2,WINDOWS,1,1,APP,10.00%,P10,P6,
RIM,PROD,SMALL,InSight Manager,DS3_v2,WINDOWS,1,1,APP,10.00%,P10,P6,
RIM,PROD,MEDIUM,InSight Manager,DS3_v2,WINDOWS,1,1,APP,10.00%,P10,P6,
RIM,PROD,LARGE,InSight Manager,D4s_v3,WINDOWS,1,1,APP,10.00%,P10,P6,
RIM,PROD,XLARGE,InSight Manager,D4s_v3,WINDOWS,1,1,APP,10.00%,P10,P6,
RIM,PROD,XSMALL,Rendering,E2s_v3,WINDOWS,1,1,APP,0.10%,P10,P10,
RIM,PROD,SMALL,Rendering,E2s_v3,WINDOWS,2,1,APP,0.10%,P10,P10,
RIM,PROD,MEDIUM,Rendering,E2s_v3,WINDOWS,2,1,APP,0.10%,P10,P10,
RIM,PROD,LARGE,Rendering,E4s_v3,WINDOWS,4,1,APP,0.10%,P10,P10,
RIM,PROD,XLARGE,Rendering,E4s_v3,WINDOWS,8,1,APP,0.10%,P10,P10,
RIM,PROD,XSMALL,Viewing,DS3_v2,WINDOWS,1,1,APP,0.10%,P10,P10,
RIM,PROD,SMALL,Viewing,DS3_v2,WINDOWS,1,1,APP,0.10%,P10,P10,
