vendor,service_name,description,sku,os_type,currency,billing_type,unit_price,reservation_term,azure_region
Calyx,,VM setup fee - 1,labor_vm_1,,USD,ONEOFF,360,0,
Calyx,,VM setup fee - 2,labor_vm_2,,USD,ONEOFF,540,0,
Calyx,,Sync Server,fs_sync_server,,USD,ANNUAL,60,0,
Calyx,,DR Setup & Storage Replication,dr_setup,,USD,ANNUAL,400.11,0,
Calyx,,DR Testing & DRP maintenance,dr_test,,USD,ANNUAL,120.12,0,
Calyx,,Database setup per server,db_setup,,USD,ONEOFF,1201.2,0,
Calyx,,Sys Eng Service Requests Packs (8 hrs p pack) per VM,sys_eng_sr_pack,,USD,ANNUAL,320.33,0,
Calyx,,Database quiessence/maintenance events,db_case,,USD,ANNUAL,15,0,
Redhat,,RHEL license fee,lic_rhel,,USD,ANNUAL,525.96,0,
Citrix,,Citrix Services & RDS Cals per user,citrix_delivery,,USD,ANNUAL,318.3,0,
Cisco,,Cisco AMP agent for Windows,csco_amp,,USD,ANNUAL,5.3,0,
Shavlik,,Shavlik/Ivanti Patch Management for Windows,si_patch_mgmt,,USD,ANNUAL,26.32,0,
Micorsoft,,Microsoft office annual cost,ms_office_cost,,USD,ANNUAL,196.14,0,
Adobe,,Adobe annual cost,adobe_cost,,USD,ANNUAL,388,0,
Documentum,,Documentun annual cost,docmentun,,USD,ANNUAL,202.68,0,
Oracle,,,oracle_ent_proc,,USD,ANNUAL,7581,0,
Oracle,,,oracle_ent_proc_diag_tuning,,USD,ANNUAL,9576,0,
Oracle,,,oracle_ent_standby,,USD,ANNUAL,9416,0,
Oracle,,,oracle_ent_standby_diag_tuning,,USD,ANNUAL,11411,0,
Oracle,,,oracle_ent_standby_goldengate,,USD,ANNUAL,12209,0,
Oracle,,,oracle_std_proc,,USD,ANNUAL,698.25,0,
Azure,,RACS standard users,racs_standard_user,,USD,ANNUAL,0,0,US EAST 2
Azure,,RACS standard users,racs_standard_user,,USD,ANNUAL,0,0,US CENTRAL
Azure,,RACS standard users,racs_standard_user,,USD,ANNUAL,0,0,EU WEST
Azure,,RACS standard users,racs_standard_user,,USD,ANNUAL,0,0,EU NORTH
Azure,,RACS standard users,racs_standard_user,,USD,ANNUAL,0,0,CN EAST 2
Azure,,RACS standard users,racs_standard_user,,USD,ANNUAL,0,0,CN NORTH 2
Azure,,RACS super users,racs_super_user,,USD,ANNUAL,18.6813,0,US EAST 2
Azure,,RACS super users,racs_super_user,,USD,ANNUAL,18.6813,0,US CENTRAL
Azure,,RACS super users,racs_super_user,,USD,ANNUAL,18.6813,0,EU WEST
Azure,,RACS super users,racs_super_user,,USD,ANNUAL,18.6813,0,EU NORTH
Azure,,RACS super users,racs_super_user,,USD,ANNUAL,18.6813,0,CN EAST 2
Azure,,RACS super users,racs_super_user,,USD,ANNUAL,18.6813,0,CN NORTH 2
Azure,,Power BI Pro,azure_powerbi_pro,,USD,ANNUAL,119.88,0,US EAST 2
Azure,,Power BI Pro,azure_powerbi_pro,,USD,ANNUAL,119.88,0,US CENTRAL
Azure,,Power BI Pro,azure_powerbi_pro,,USD,ANNUAL,119.88,0,EU WEST
Azure,,Power BI Pro,azure_powerbi_pro,,USD,ANNUAL,119.88,0,EU NORTH
Azure,,Power BI Pro,azure_powerbi_pro,,CNY,ANNUAL,739.92,0,CN EAST 2
Azure,,Power BI Pro,azure_powerbi_pro,,CNY,ANNUAL,739.92,0,CN NORTH 2
Azure,,Power BI Premium,azure_powerbi_pro,,USD,ANNUAL,240,0,US EAST 2
Azure,,Power BI Premium,azure_powerbi_pro,,USD,ANNUAL,240,0,US CENTRAL
Azure,,Power BI Premium,azure_powerbi_pro,,USD,ANNUAL,240,0,EU WEST
Azure,,Power BI Premium,azure_powerbi_pro,,USD,ANNUAL,240,0,EU NORTH
Azure,,Power BI Premium,azure_powerbi_pro,,CNY,ANNUAL,1479.96,0,CN EAST 2
Azure,,Power BI Premium,azure_powerbi_pro,,CNY,ANNUAL,1479.96,0,CN NORTH 2
Azure,,Azure Data Factory,azure_data_factory,,USD,ANNUAL,5400,0,US EAST 2
Azure,,Azure Data Factory,azure_data_factory,,USD,ANNUAL,5400,0,US CENTRAL
Azure,,Azure Data Factory,azure_data_factory,,USD,ANNUAL,5400,0,EU WEST
Azure,,Azure Data Factory,azure_data_factory,,USD,ANNUAL,5400,0,EU NORTH
Azure,,Azure Data Factory,azure_data_factory,,USD,ANNUAL,5400,0,CN EAST 2
Azure,,Azure Data Factory,azure_data_factory,,USD,ANNUAL,5400,0,CN NORTH 2
Azure,,Azure SQL Database Compute (vCores),azure_sql_vcore,,USD,ANNUAL,1920,0,US EAST 2
Azure,,Azure SQL Database Compute (vCores),azure_sql_vcore,,USD,ANNUAL,1920,0,US CENTRAL
Azure,,Azure SQL Database Compute (vCores),azure_sql_vcore,,USD,ANNUAL,1920,0,EU WEST
Azure,,Azure SQL Database Compute (vCores),azure_sql_vcore,,USD,ANNUAL,1920,0,EU NORTH
Azure,,Azure SQL Database Compute (vCores),azure_sql_vcore,,USD,ANNUAL,1920,0,CN EAST 2
Azure,,Azure SQL Database Compute (vCores),azure_sql_vcore,,USD,ANNUAL,1920,0,CN NORTH 2
Azure,,Azure SQL Database Compute (vCores),azure_sql_vcore,,USD,ANNUAL,1920,1,US EAST 2
Azure,,Azure SQL Database Compute (vCores),azure_sql_vcore,,USD,ANNUAL,1920,1,US CENTRAL
Azure,,Azure SQL Database Compute (vCores),azure_sql_vcore,,USD,ANNUAL,1920,1,EU WEST
